mode_dsc,carrier,lane,orders,on_time_rate,late_rate,avg_late_days,total_freight_cost,sla_target,sla_breach_pp,sla_score
AIR   ,V444_0,PORT04 → PORT09,6230,0.9706260032102729,0.029373996789727127,0.05473515248796148,12113.273879459608,0.9699999999999999,0.0,1.000645364134302
AIR   ,V444_1,PORT04 → PORT09,2097,0.9957081545064378,0.004291845493562232,0.012875536480686695,5569.993313913458,0.97,0.0,1.0265032520684927
GROUND,V444_0,PORT09 → PORT09,34,1.0,0.0,0.0,55981.16242399555,0.9699999999999999,0.0,1.0309278350515465
,V44_3,PORT04 → PORT09,714,1.0,0.0,0.0,0.0,0.9699999999999999,0.0,1.0309278350515465
,V44_3,PORT05 → PORT09,1,1.0,0.0,0.0,0.0,0.97,0.0,1.0309278350515465
,V44_3,PORT09 → PORT09,139,1.0,0.0,0.0,0.0,0.9699999999999999,0.0,1.0309278350515465
