plant_code,orders,units,avg_daily_capacity,wh_cost_per_unit,capacity_util_proxy
PLANT03,8541,28611617,1013.0,0.5175018916254618,941.4813096413294
PLANT04,1,348,554.0,0.4285032951482173,0.020938628158844765
PLANT08,102,277008,14.0,0.5228572991962216,659.5428571428571
PLANT09,12,223830,11.0,0.465071097382935,678.2727272727273
PLANT12,300,112000,209.0,0.7731317943178858,17.862838915470494
PLANT13,86,43379,490.0,0.469707056581513,2.9509523809523808
PLANT16,173,245133,457.0,1.9198075078524333,17.879868708971554
