carrier,mode_dsc,carrier_type,orders,freight_cost,on_time_rate,avg_tpt
V444_0,AIR   ,V88888888_0,6230,12113.273879459608,0.9706260032102729,2.0093097913322633
V444_0,GROUND,V88888888_0,34,55981.16242399555,1.0,0.0
V444_1,AIR   ,V888888883_1,2097,5569.993313913458,0.9957081545064378,1.0538865045302814
