order_id,order_date,orig_port_cd,dest_port_cd,carrier,plant_code,customer,product_id,unit_quantity,weight,tpt,svc_cd,ship_ahead_day_count,ship_late_day_count,is_on_time,is_late,is_early,mode_dsc,carrier_type,minimum_cost,rate,freight_cost_est,daily_capacity,wh_cost_per_unit
1447125805.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555_5,1660583,262,0.5944760908848614,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447132025.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555555555_28,1667927,52742,30.405274214102064,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133054.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V555555_24,1678648,356,1.462970094059406,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133164.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1668492,610,7.676666666666666,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133209.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1683560,71330,670.5889311442453,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,28.432970680516,1013,0.5175018916254618
1447133210.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1693230,23601,129.26618224908992,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,5.480886127361413,1013,0.5175018916254618
1447133211.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1693230,79487,428.97994150440775,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,18.18874951978689,1013,0.5175018916254618
1447133212.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1693230,79472,491.97994150440775,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,20.859949519786888,1013,0.5175018916254618
1447133213.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1693230,8246,42.89799415044078,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,2.076262916881334,1013,0.5175018916254618
1447133214.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1664069,904,3.648763002291219,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133242.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V5555555_30,1674120,885,49.28,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,2.385152,1013,0.5175018916254618
1447133248.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1687661,338,2.4800000000000004,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133256.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1679638,813,1.6908310220188094,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133258.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1652611,324,1.5809361095780752,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133267.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1672706,380,8.12,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133755.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1664067,9918,81.99495576935674,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,3.968555859236866,1013,0.5175018916254618
1447133756.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1664067,3929,30.498108413508778,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133757.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1664067,2727,17.998738942339184,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447133758.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1664067,17653,134.7408573319591,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,5.713012350875066,1013,0.5175018916254618
1447135386.7,2013-05-26,PORT04,PORT09,V444_0,PLANT08,V555_15,1681878,1045,3.0977760466629154,2,DTP,3,1,False,True,True,AIR   ,V88888888_0,1.4992,0.0484,1.4992,14,0.5228572991962216
1447135953.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1683560,39842,434.6869631056495,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0424,18.43072723567954,1013,0.5175018916254618
1447135962.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1652499,298,2.92,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
1447136117.7,2013-05-26,PORT04,PORT09,V444_0,PLANT03,V55555_26,1651299,2233,6.02,2,DTP,0,0,True,False,False,AIR   ,V88888888_0,1.4992,0.0484,1.4992,1013,0.5175018916254618
